"full_name","spkid","orbit_id","a","e","i","q","ad","om","w","ma","n","tp","neo","pha"
"  7888 (1993 UC)",20007888,"JPL 202",2.438,0.6631,26.07,0.821,4.05,165.89,323.01,24.14,0.2589,2460507.27,Y,N
"  7889 (1994 LX)",20007889,"JPL 486",1.262,0.3463,36.91,0.825,1.70,111.26,349.18,337.10,0.6956,2460633.42,Y,N
"  8014 (1990 MF)",20008014,"JPL 178",1.747,0.4560,1.87,0.951,2.54,209.84,114.73,291.48,0.4268,2460761.05,Y,Y
"  8035 (1992 TB)",20008035,"JPL 230",1.342,0.4624,28.30,0.722,1.96,185.61,6.12,13.70,0.6339,2460578.89,Y,N
"  8176 (1991 WA)",20008176,"JPL 162",1.575,0.6432,39.59,0.562,2.59,66.51,241.88,260.84,0.4987,2460799.33,Y,N
"  8201 (1994 AH2)",20008201,"JPL 154",2.539,0.7061,9.54,0.746,4.33,164.09,25.13,199.52,0.2436,2461259.21,Y,N
"  8507 (1991 CB1)",20008507,"JPL 132",1.687,0.5944,14.58,0.684,2.69,317.41,345.77,9.42,0.4497,2460579.56,Y,N
"  8566 (1996 EN)",20008566,"JPL 288",1.506,0.4302,37.97,0.858,2.15,164.12,125.13,90.11,0.5331,2460431.47,Y,Y
"  9058 (1992 JB)",20009058,"JPL 178",1.557,0.3596,16.09,0.997,2.12,218.30,307.06,284.90,0.5074,2460748.50,Y,N
"  9162 Kwiila (1987 OA)",20009162,"JPL 155",1.497,0.5956,9.01,0.605,2.39,179.99,235.83,77.31,0.5383,2460456.89,Y,N
"  9202 (1993 PB)",20009202,"JPL 189",1.424,0.6078,40.80,0.558,2.29,315.89,212.36,225.05,0.5802,2460833.11,Y,N
"  9856 (1991 EE)",20009856,"JPL 194",2.242,0.6258,9.83,0.839,3.65,168.11,116.18,314.61,0.2935,2460755.13,Y,Y
" 10115 (1992 SK)",20010115,"JPL 347",1.249,0.3250,15.32,0.843,1.65,8.89,233.69,84.54,0.7065,2460480.83,Y,Y
" 10145 (1994 CK1)",20010145,"JPL 164",1.901,0.6326,4.55,0.698,3.10,328.38,27.45,348.39,0.376,2460631.37,Y,N
" 10165 (1995 BL2)",20010165,"JPL 207",1.235,0.5037,23.90,0.613,1.86,312.42,348.46,91.71,0.7184,2460472.84,Y,N
" 10563 Izhdubar (1993 WD)",20010563,"JPL 88",1.007,0.2662,63.47,0.739,1.27,56.56,132.20,106.82,0.9756,2460491.01,Y,N
" 10636 (1998 QK56)",20010636,"JPL 141",1.884,0.5129,13.58,0.918,2.85,172.93,286.31,359.24,0.381,2460602.50,Y,N
" 11066 Sigurd (1992 CC1)",20011066,"JPL 378",1.392,0.3754,36.88,0.869,1.91,349.22,22.03,75.15,0.6004,2460475.33,Y,N
" 11311 Peleus (1993 XN2)",20011311,"JPL 180",2.117,0.5359,25.49,0.983,3.25,59.32,313.45,26.51,0.32,2460517.66,Y,N
