"full_name","spkid","orbit_id","a","e","i","q","ad","om","w","ma","n","tp","neo","pha"
"394783 (2008 HD3)",20394783,"JPL 47",1.131,0.3361,52.01,0.751,1.51,222.07,223.75,355.01,0.819,2460606.60,Y,N
"395143 (2010 CN1)",20395143,"JPL 65",1.499,0.4391,20.97,0.841,2.16,216.42,192.49,35.63,0.5371,2460534.16,Y,N
"395207 (2010 HQ80)",20395207,"JPL 85",1.568,0.4893,27.85,0.801,2.34,218.47,66.30,79.78,0.5019,2460441.56,Y,Y
"395289 (2011 BJ2)",20395289,"JPL 74",1.29,0.3472,49.90,0.842,1.74,33.99,84.11,99.45,0.6725,2460452.62,Y,N
"396730 (2003 KX16)",20396730,"JPL 68",1.334,0.5789,23.62,0.562,2.11,94.27,28.33,10.16,0.6395,2460584.62,Y,N
"396793 (2004 JN2)",20396793,"JPL 39",1.068,0.6085,19.76,0.418,1.72,228.32,179.95,5.95,0.8933,2460593.84,Y,N
"396794 (2004 KT)",20396794,"JPL 50",1.854,0.6643,43.63,0.623,3.09,267.91,238.47,63.77,0.3903,2460437.12,Y,N
"397237 (2006 KZ112)",20397237,"JPL 77",2.523,0.8870,37.83,0.285,4.76,166.32,358.20,225.12,0.246,2461148.90,Y,N
"397474 (2007 PP6)",20397474,"JPL 54",2.166,0.8354,18.55,0.357,3.98,77.15,13.00,107.40,0.3091,2460253.04,Y,N
"397847 (2008 TA1)",20397847,"JPL 97",1.396,0.4483,14.83,0.770,2.02,22.00,145.69,139.90,0.5974,2460366.32,Y,N
"399308 (1993 GD)",20399308,"JPL 55",1.102,0.2381,15.46,0.840,1.36,201.42,202.11,220.82,0.8515,2460763.95,Y,N
"399325 (1999 GY5)",20399325,"JPL 50",1.146,0.6148,24.43,0.442,1.85,203.38,232.23,336.48,0.8029,2460629.80,Y,N
"399433 (2001 YK4)",20399433,"JPL 51",2.654,0.7770,4.38,0.592,4.72,155.70,210.84,112.87,0.2279,2460105.29,Y,N
"399457 (2002 PD43)",20399457,"JPL 36",2.507,0.9563,25.94,0.110,4.90,315.04,210.99,223.99,0.2483,2461148.34,Y,Y
"399774 (2005 NB7)",20399774,"JPL 105",2.044,0.5174,12.70,0.987,3.10,199.16,348.16,237.64,0.3372,2460963.35,Y,Y
"401856 (2000 KW43)",20401856,"JPL 61",1.452,0.4779,24.27,0.758,2.15,82.62,63.60,18.63,0.563,2460567.41,Y,Y
"401857 (2000 PG3)",20401857,"JPL 85",2.825,0.8554,22.04,0.408,5.24,323.56,141.25,5.57,0.2076,2460573.67,Y,N
"401925 (2002 AT15)",20401925,"JPL 52",1.894,0.4752,36.38,0.994,2.79,108.40,266.52,295.10,0.3781,2460772.16,Y,N
"401998 (2003 MO)",20401998,"JPL 44",1.97,0.8760,21.47,0.244,3.70,240.06,164.67,241.46,0.3566,2460932.97,Y,N
"404108 (2012 SF51)",20404108,"JPL 86",2.505,0.6870,20.79,0.784,4.23,1.14,156.62,293.25,0.2487,2460868.93,Y,N
"405212 (2003 QC10)",20405212,"JPL 90",1.373,0.7313,5.04,0.369,2.38,359.96,120.87,17.92,0.6124,2460571.23,Y,Y
"405762 (2005 YO180)",20405762,"JPL 24",1.481,0.4480,5.77,0.817,2.14,7.72,87.75,181.60,0.5469,2460926.70,Y,Y
"406213 (2007 AB2)",20406213,"JPL 90",1.919,0.5457,1.46,0.872,2.97,126.84,280.93,265.78,0.3707,2460854.65,Y,Y
"406952 (2009 KJ)",20406952,"JPL 41",1.241,0.7175,32.96,0.351,2.13,12.49,67.11,90.14,0.713,2460474.08,Y,N
"407324 (2010 OB101)",20407324,"JPL 41",1.617,0.5227,9.13,0.772,2.46,260.89,334.47,4.01,0.4795,2460592.14,Y,N
"407338 (2010 RQ30)",20407338,"JPL 74",1.584,0.4761,4.92,0.830,2.34,137.44,7.91,265.43,0.4944,2460791.76,Y,N
"407653 (2011 QF3)",20407653,"JPL 90",2.054,0.5122,9.77,1.002,3.11,172.61,315.37,63.57,0.3349,2460410.67,Y,N
"408752 (1991 TB2)",20408752,"JPL 96",2.046,0.7922,7.93,0.425,3.67,291.88,199.40,78.21,0.3369,2460368.34,Y,N
"408792 (2000 GF2)",20408792,"JPL 58",1.341,0.3777,9.63,0.834,1.85,176.01,108.10,243.93,0.635,2460783.29,Y,Y
"408980 (2002 RB126)",20408980,"JPL 94",1.43,0.7227,15.03,0.396,2.46,6.83,225.01,5.57,0.5766,2460590.84,Y,N
"409836 (2006 QY110)",20409836,"JPL 71",1.924,0.5741,6.40,0.819,3.03,222.61,221.63,261.88,0.3693,2460866.21,Y,Y
"410088 (2007 EJ)",20410088,"JPL 189",2.501,0.6294,8.33,0.927,4.08,61.74,3.62,176.53,0.2492,2459892.08,Y,N
"410627 (2008 RG1)",20410627,"JPL 46",1.316,0.4431,13.09,0.733,1.90,347.79,257.45,298.99,0.6528,2460693.96,Y,Y
"410777 (2009 FD)",20410777,"JPL 107",1.164,0.4929,3.13,0.590,1.74,9.26,281.56,96.47,0.7848,2460477.57,Y,N
"410778 (2009 FG19)",20410778,"JPL 91",2.912,0.7191,54.50,0.818,5.01,187.51,120.40,17.41,0.1984,2460512.73,Y,Y
"411165 (2010 DF1)",20411165,"JPL 33",1.598,0.5032,20.08,0.794,2.40,154.84,101.81,45.87,0.4877,2460506.45,Y,N
"412977 (1990 UO)",20412977,"JPL 52",1.257,0.7727,31.59,0.286,2.23,205.58,333.53,330.55,0.6993,2460642.62,Y,N
"413989 (2007 EL88)",20413989,"JPL 68",1.12,0.5218,30.84,0.535,1.70,198.44,116.16,235.72,0.832,2460749.87,Y,Y
"414287 (2008 OB9)",20414287,"JPL 93",3.203,0.7597,13.50,0.770,5.64,202.70,238.56,262.76,0.172,2461165.96,Y,Y
"414429 (2009 DC43)",20414429,"JPL 93",1.801,0.4894,20.85,0.919,2.68,84.23,172.86,141.33,0.4078,2460253.95,Y,N
"414772 (2010 OC103)",20414772,"JPL 58",1.195,0.6720,23.11,0.392,2.00,17.94,178.33,94.31,0.7549,2460475.58,Y,N
"414800 (2010 SV3)",20414800,"JPL 49",1.512,0.5154,6.18,0.733,2.29,23.97,224.62,251.17,0.5299,2460805.86,Y,N
"414990 (2011 EM51)",20414990,"JPL 71",1.321,0.3353,1.86,0.878,1.76,134.15,142.26,285.47,0.649,2460715.35,Y,Y
"415027 (2011 SG5)",20415027,"JPL 64",1.31,0.3865,26.63,0.804,1.82,229.79,26.59,298.73,0.6575,2460693.68,Y,N
"415029 (2011 UL21)",20415029,"JPL 363",2.123,0.6536,34.89,0.735,3.51,275.32,285.00,50.22,0.3187,2460442.90,Y,Y
"415745 (2000 GV147)",20415745,"JPL 71",1.747,0.4570,10.56,0.948,2.54,68.64,216.11,194.22,0.427,2460988.75,Y,Y
"415987 (2002 AE9)",20415987,"JPL 66",1.122,0.4362,37.89,0.633,1.61,127.45,129.19,325.81,0.8291,2460641.73,Y,N
"416151 (2002 RQ25)",20416151,"JPL 96",1.112,0.3064,4.57,0.771,1.45,10.46,225.74,34.37,0.8408,2460559.62,Y,Y
"416195 (2002 TR190)",20416195,"JPL 61",1.077,0.1599,26.92,0.905,1.25,24.21,104.79,171.49,0.8819,2460406.05,Y,Y
"416283 (2003 MM)",20416283,"JPL 32",1.053,0.2562,8.54,0.783,1.32,127.60,19.82,354.88,0.9119,2460606.12,Y,N
"416591 (2004 LC2)",20416591,"JPL 77",1.865,0.7347,10.98,0.495,3.24,84.25,290.72,333.82,0.3869,2460668.15,Y,Y
"416694 (2004 YR32)",20416694,"JPL 75",3.069,0.6983,20.44,0.926,5.21,89.90,89.06,244.27,0.1833,2461231.83,Y,N
"416801 (2005 GC120)",20416801,"JPL 83",1.193,0.4974,16.54,0.600,1.79,67.93,258.31,273.19,0.7559,2460715.34,Y,Y
"417211 (2005 XL80)",20417211,"JPL 100",1.727,0.4872,10.91,0.886,2.57,53.31,143.78,63.13,0.4343,2460455.13,Y,Y
"417581 (2006 VA3)",20417581,"JPL 127",1.603,0.6782,53.37,0.516,2.69,312.92,307.77,256.55,0.4856,2460813.52,Y,N
"417612 (2006 WQ29)",20417612,"JPL 51",1.601,0.3938,8.07,0.971,2.23,111.97,136.61,114.76,0.4865,2460364.59,Y,Y
"417634 (2006 XG1)",20417634,"JPL 36",2.458,0.5958,20.50,0.994,3.92,38.46,344.14,232.29,0.2557,2461099.94,Y,Y
"417816 (2007 FA)",20417816,"JPL 59",1.25,0.2657,16.33,0.918,1.58,156.40,135.44,132.23,0.7051,2460412.98,Y,Y
"417871 (2007 MB24)",20417871,"JPL 60",1.876,0.6999,47.71,0.563,3.19,271.11,269.13,288.97,0.3835,2460785.70,Y,Y
"417874 (2007 NC5)",20417874,"JPL 45",2.445,0.8870,19.29,0.276,4.61,165.84,20.58,197.41,0.2578,2461231.22,Y,N
"417949 (2007 TB23)",20417949,"JPL 60",1.262,0.1977,38.29,1.013,1.51,40.10,173.86,173.05,0.6952,2460351.57,Y,Y
"418094 (2007 WV4)",20418094,"JPL 80",1.486,0.4407,38.34,0.831,2.14,249.86,297.67,50.43,0.5439,2460507.78,Y,Y
"418135 (2008 AG33)",20418135,"JPL 48",1.459,0.3367,16.01,0.968,1.95,38.29,155.54,156.61,0.5594,2460320.54,Y,Y
"418233 (2008 DV)",20418233,"JPL 88",1.731,0.4517,31.30,0.949,2.51,308.90,258.62,71.82,0.4329,2460434.60,Y,N
"418416 (2008 LV16)",20418416,"JPL 89",2.089,0.6255,4.72,0.782,3.40,236.47,121.97,125.34,0.3265,2460216.59,Y,Y
"418849 (2008 WM64)",20418849,"JPL 83",1.006,0.1064,33.52,0.899,1.11,91.43,256.77,5.97,0.9769,2460594.39,Y,Y
"418896 (2009 AK15)",20418896,"JPL 66",1.31,0.4289,13.83,0.748,1.87,186.78,6.51,145.42,0.6574,2460379.28,Y,N
"418900 (2009 BE2)",20418900,"JPL 75",1.56,0.3534,23.44,1.008,2.11,93.05,138.37,278.84,0.506,2460760.89,Y,N
"419472 (2010 DW1)",20419472,"JPL 64",1.225,0.2002,23.77,0.980,1.47,157.11,9.65,286.45,0.7269,2460701.69,Y,Y
"419624 (2010 SO16)",20419624,"JPL 80",1.004,0.0754,14.51,0.928,1.08,40.35,109.24,202.51,0.9799,2460761.22,Y,Y
"419880 (2011 AH37)",20419880,"JPL 57",2.548,0.6721,9.66,0.836,4.26,102.04,322.40,156.59,0.2423,2459954.17,Y,Y
"419922 (2011 BJ24)",20419922,"JPL 60",2.404,0.6413,8.09,0.862,3.95,191.06,188.89,257.65,0.2644,2460987.67,Y,N
"420048 (2011 DL19)",20420048,"JPL 78",1.609,0.4121,28.21,0.946,2.27,274.09,293.79,218.88,0.4828,2460892.78,Y,N
"420210 (2011 HF)",20420210,"JPL 77",1.284,0.2346,10.62,0.982,1.58,204.88,149.66,327.18,0.6778,2460648.92,Y,Y
"420262 (2011 KD11)",20420262,"JPL 70",1.588,0.4228,17.13,0.917,2.26,257.47,253.45,291.11,0.4926,2460740.37,Y,N
"420286 (2011 RZ)",20420286,"JPL 48",2.133,0.5323,36.58,0.997,3.27,332.05,278.41,122.63,0.3165,2460213.03,Y,N
"420591 (2012 HF31)",20420591,"JPL 48",1.554,0.4426,9.11,0.866,2.24,325.72,30.40,56.29,0.5089,2460489.88,Y,N
"422638 (1994 CB)",20422638,"JPL 30",1.149,0.1451,18.26,0.983,1.32,310.62,288.54,242.28,0.7998,2460747.69,Y,N
"422699 (2000 PD3)",20422699,"JPL 108",1.999,0.5920,7.70,0.815,3.18,298.64,110.23,171.27,0.3488,2460109.53,Y,Y
"422787 (2001 WS1)",20422787,"JPL 112",2.591,0.6184,13.24,0.989,4.19,1.29,5.23,175.00,0.2363,2459859.76,Y,Y
"423022 (2003 TJ2)",20423022,"JPL 47",1.318,0.4743,17.45,0.693,1.94,341.46,299.00,359.72,0.6512,2460600.93,Y,N
"423100 (2004 BX1)",20423100,"JPL 32",2.409,0.8406,19.81,0.384,4.43,92.43,169.11,177.54,0.2636,2459927.02,Y,N
"423709 (2006 BQ6)",20423709,"JPL 106",1.472,0.4049,13.00,0.876,2.07,307.62,304.80,96.61,0.552,2460425.48,Y,Y
"424392 (2007 YJ)",20424392,"JPL 53",1.103,0.2798,3.31,0.795,1.41,28.87,199.39,59.24,0.8505,2460530.85,Y,N
"424482 (2008 DG5)",20424482,"JPL 76",1.255,0.2426,5.71,0.951,1.56,244.01,59.72,166.89,0.7007,2460362.32,Y,Y
"426071 (2012 CD29)",20426071,"JPL 68",1.025,0.6486,19.29,0.360,1.69,144.71,152.42,357.45,0.9493,2460603.19,Y,N
"428209 (2006 VC)",20428209,"JPL 43",1.942,0.4920,12.25,0.986,2.90,87.53,19.22,207.28,0.3642,2461019.78,Y,Y
"428223 (2006 WW)",20428223,"JPL 91",2.682,0.8679,32.72,0.354,5.01,88.19,197.95,47.68,0.2243,2460387.97,Y,N
"428694 Saule (2008 OS9)",20428694,"JPL 68",1.601,0.6481,19.14,0.563,2.64,133.38,288.35,326.53,0.4864,2460669.30,Y,N
"429094 (2009 SG2)",20429094,"JPL 54",1.121,0.1702,25.98,0.930,1.31,9.07,252.98,327.80,0.8305,2460639.27,Y,Y
"429389 (2010 PR10)",20429389,"JPL 50",1.198,0.1760,9.16,0.987,1.41,334.45,65.29,229.85,0.7515,2460773.70,Y,N
"429584 (2011 EU29)",20429584,"JPL 91",2.503,0.6999,2.57,0.751,4.25,177.14,251.23,175.49,0.2489,2459895.42,Y,Y
"429736 (2011 MB2)",20429736,"JPL 34",1.044,0.4156,12.60,0.610,1.48,64.73,321.17,101.84,0.9239,2460490.27,Y,N
"430440 (2000 OH)",20430440,"JPL 99",2.421,0.5931,18.75,0.985,3.86,283.62,355.55,156.99,0.2617,2460000.60,Y,Y
"430544 (2002 GM2)",20430544,"JPL 39",2.201,0.8068,3.35,0.425,3.98,338.95,84.77,355.67,0.3019,2460614.85,Y,Y
"430804 (2005 AD13)",20430804,"JPL 123",1.949,0.7549,12.38,0.478,3.42,102.74,263.66,115.72,0.3621,2460280.93,Y,Y
"431698 (2008 ES)",20431698,"JPL 82",2.296,0.7568,9.12,0.558,4.03,134.25,164.73,243.01,0.2833,2461013.43,Y,N
"431760 (2008 HE)",20431760,"JPL 52",2.262,0.9506,9.84,0.112,4.41,215.32,185.38,318.34,0.2897,2460744.29,Y,N
"432509 (2010 FF7)",20432509,"JPL 32",1.405,0.8281,16.18,0.242,2.57,61.03,342.53,310.77,0.5918,2460683.69,Y,N
"433303 (2013 NX)",20433303,"JPL 53",1.032,0.1697,6.32,0.857,1.21,112.62,312.66,147.69,0.9397,2460443.33,Y,N
"433939 (1995 DW1)",20433939,"JPL 29",1.04,0.4369,15.06,0.586,1.49,348.80,327.06,219.02,0.9292,2460752.23,Y,N
"433953 (1997 XR2)",20433953,"JPL 80",1.076,0.2008,7.19,0.860,1.29,250.66,84.65,91.54,0.8828,2460496.81,Y,Y
"434096 (2002 GO5)",20434096,"JPL 66",1.896,0.7679,13.77,0.440,3.35,22.60,65.35,244.76,0.3776,2460905.69,Y,Y
"434188 (2003 AD23)",20434188,"JPL 52",1.645,0.7627,23.34,0.390,2.90,101.48,241.67,152.29,0.4671,2460274.45,Y,Y
"434196 (2003 HG2)",20434196,"JPL 43",1.062,0.1346,19.78,0.919,1.21,214.24,225.40,345.51,0.9002,2460616.60,Y,Y
"434344 (2004 RV10)",20434344,"JPL 43",1.377,0.2856,36.87,0.984,1.77,161.52,272.43,93.73,0.61,2460446.85,Y,N
"434500 (2005 SB71)",20434500,"JPL 49",1.264,0.2573,13.21,0.938,1.59,200.58,100.46,191.04,0.6938,2460844.02,Y,N
"434632 (2005 WE)",20434632,"JPL 60",1.151,0.2513,12.37,0.862,1.44,289.92,22.65,185.52,0.7981,2460819.13,Y,N
"434633 (2005 WB1)",20434633,"JPL 37",1.264,0.3554,22.88,0.815,1.71,61.41,265.73,164.11,0.6937,2460363.91,Y,Y
"434677 (2006 BZ7)",20434677,"JPL 50",1.49,0.3665,68.42,0.944,2.04,262.95,188.79,101.09,0.5419,2460413.94,Y,Y
"434734 (2006 FX)",20434734,"JPL 46",1.495,0.4380,24.64,0.840,2.15,181.15,299.49,83.19,0.5392,2460446.22,Y,Y
"434740 (2006 GZ)",20434740,"JPL 51",1.528,0.3799,12.49,0.947,2.11,25.58,292.49,210.74,0.5221,2460886.41,Y,N
"434786 (2006 PW)",20434786,"JPL 53",1.381,0.6514,35.91,0.481,2.28,132.92,325.15,1.27,0.6072,2460598.40,Y,N
"435159 (2007 LQ19)",20435159,"JPL 61",2.605,0.6299,17.06,0.964,4.25,110.83,207.69,40.28,0.2344,2460428.63,Y,Y
"435441 (2008 DJ5)",20435441,"JPL 52",1.254,0.4179,8.07,0.730,1.78,358.87,326.77,189.10,0.702,2460843.97,Y,N
"435548 (2008 QT3)",20435548,"JPL 101",2.012,0.5285,7.25,0.949,3.08,271.90,160.98,196.12,0.3453,2461075.11,Y,Y
"436037 (2009 NJ)",20436037,"JPL 60",1.869,0.6581,8.24,0.639,3.10,254.38,132.84,319.96,0.3859,2460704.27,Y,N
"436325 (2010 GR7)",20436325,"JPL 54",1.831,0.8456,24.13,0.283,3.38,157.56,192.01,276.15,0.3977,2460811.35,Y,N
"436329 (2010 GX62)",20436329,"JPL 64",2.971,0.6990,21.83,0.894,5.05,206.93,317.00,316.16,0.1925,2460828.26,Y,Y
"436568 (2011 HB53)",20436568,"JPL 69",2.364,0.7028,30.00,0.703,4.03,83.72,351.09,280.42,0.2711,2460894.07,Y,N
"436724 (2011 UW158)",20436724,"JPL 142",1.621,0.3765,4.57,1.010,2.23,285.95,8.82,174.09,0.4777,2460236.11,Y,Y
"436761 (2012 DN)",20436761,"JPL 48",2.235,0.5932,19.95,0.909,3.56,143.25,247.34,338.64,0.295,2460672.93,Y,N
"436763 (2012 FN52)",20436763,"JPL 29",1.979,0.6651,22.62,0.663,3.30,93.09,350.36,219.30,0.354,2460997.95,Y,N
"436774 (2012 KY3)",20436774,"JPL 63",1.232,0.4864,21.39,0.633,1.83,21.51,87.25,78.98,0.7212,2460490.99,Y,Y
"436775 (2012 LC1)",20436775,"JPL 79",2.01,0.7644,34.39,0.474,3.55,53.73,52.44,134.82,0.3457,2460210.56,Y,N
"437316 (2013 OS3)",20437316,"JPL 91",1.829,0.4684,29.89,0.972,2.69,297.59,224.67,314.18,0.3984,2460715.53,Y,N
"437846 (1999 RJ27)",20437846,"JPL 33",1.479,0.3527,25.78,0.957,2.00,170.27,64.41,60.89,0.5481,2460489.40,Y,N
"437905 (2001 XU30)",20437905,"JPL 31",2.198,0.6637,8.93,0.739,3.66,72.00,107.12,348.02,0.3026,2460640.08,Y,Y
"437965 (2003 AL73)",20437965,"JPL 34",2.541,0.6946,9.65,0.776,4.31,217.33,336.40,117.58,0.2434,2460117.37,Y,N
"437994 (2003 UL12)",20437994,"JPL 108",3.28,0.7032,19.81,0.974,5.59,192.73,275.25,176.86,0.1659,2459534.44,Y,N
"438017 (2003 YO3)",20438017,"JPL 49",1.45,0.3663,24.61,0.919,1.98,291.36,168.77,317.79,0.5645,2460675.28,Y,N
"438105 (2005 GO22)",20438105,"JPL 74",1.914,0.8234,1.56,0.338,3.49,61.76,19.09,153.06,0.3722,2460189.22,Y,Y
"438107 (2005 GY110)",20438107,"JPL 38",1.849,0.6864,12.65,0.580,3.12,294.60,169.14,291.55,0.3921,2460775.09,Y,N
"438116 (2005 NX44)",20438116,"JPL 44",2.216,0.9074,36.50,0.205,4.23,308.83,215.18,323.54,0.2988,2460722.52,Y,N
"438661 (2008 EP6)",20438661,"JPL 61",1.209,0.2932,17.72,0.855,1.56,303.22,130.30,231.82,0.7415,2460773.38,Y,Y
"438908 (2009 XO)",20438908,"JPL 100",1.859,0.5434,0.35,0.849,2.87,27.95,140.52,287.57,0.3889,2460786.76,Y,Y
"438955 (2010 LN14)",20438955,"JPL 66",1.154,0.4746,1.47,0.606,1.70,342.96,33.25,138.77,0.7953,2460426.01,Y,Y
"438990 (2010 SG13)",20438990,"JPL 40",1.252,0.7485,33.80,0.315,2.19,252.94,225.12,314.11,0.7032,2460665.76,Y,N
"439313 (2012 VE82)",20439313,"JPL 63",2.11,0.5437,9.92,0.963,3.26,110.40,186.45,12.64,0.3215,2460561.17,Y,Y
"439437 (2013 NK4)",20439437,"JPL 87",1.023,0.5499,6.55,0.460,1.58,33.70,50.57,233.00,0.9531,2460733.75,Y,Y
"439877 (1999 XM141)",20439877,"JPL 50",1.236,0.3691,21.62,0.780,1.69,72.98,105.80,337.80,0.7172,2460631.46,Y,Y
"440212 (2004 OB)",20440212,"JPL 120",1.681,0.4304,3.44,0.957,2.40,174.52,223.35,55.29,0.4523,2460478.27,Y,Y
"441058 (2007 PH25)",20441058,"JPL 60",2.545,0.8110,53.22,0.481,4.61,150.26,331.82,64.22,0.2427,2460335.93,Y,N
"441641 (2008 WZ13)",20441641,"JPL 70",1.995,0.5625,8.20,0.873,3.12,51.73,133.93,165.73,0.3498,2460126.69,Y,Y
"441987 (2010 NY65)",20441987,"JPL 184",1.003,0.3701,11.54,0.632,1.37,267.92,252.07,175.65,0.9805,2460421.36,Y,Y
"442037 (2010 PR66)",20442037,"JPL 103",2.927,0.6872,17.60,0.916,4.94,292.75,319.52,310.29,0.1968,2460853.09,Y,Y
"442523 (2011 WU95)",20442523,"JPL 83",1.667,0.4245,6.72,0.959,2.37,67.67,242.41,75.48,0.458,2460435.68,Y,Y
"442605 (2012 HY33)",20442605,"JPL 40",1.998,0.5435,14.70,0.912,3.08,63.58,270.82,98.83,0.3491,2460317.39,Y,N
"443103 (2013 WT67)",20443103,"JPL 137",1.035,0.1922,21.47,0.836,1.23,322.75,99.03,159.08,0.9362,2460430.58,Y,Y
"443104 (2013 XK22)",20443104,"JPL 33",1.046,0.2032,6.99,0.833,1.26,268.33,265.78,343.27,0.9219,2460618.65,Y,N
"443806 (1998 FL3)",20443806,"JPL 25",1.26,0.2478,26.39,0.948,1.57,180.10,121.34,192.54,0.6969,2460840.80,Y,Y
"443880 (2001 UZ16)",20443880,"JPL 91",1.76,0.4263,12.67,1.010,2.51,323.10,28.63,320.12,0.422,2460695.00,Y,Y
"444004 (2004 AS1)",20444004,"JPL 54",1.07,0.1744,17.21,0.884,1.26,322.53,262.12,174.80,0.8899,2460404.07,Y,Y
"444193 (2005 SE71)",20444193,"JPL 99",1.069,0.1944,24.83,0.862,1.28,39.10,78.29,22.73,0.8911,2460574.99,Y,Y
"444584 (2006 UK)",20444584,"JPL 83",1.494,0.5389,4.75,0.689,2.30,243.92,252.35,255.97,0.5398,2460793.22,Y,Y
"445025 (2008 NS1)",20445025,"JPL 31",2.409,0.8090,13.47,0.460,4.36,305.78,211.12,125.46,0.2637,2460124.66,Y,N
"445305 (2010 DM56)",20445305,"JPL 52",1.306,0.2927,25.60,0.924,1.69,349.61,48.17,350.69,0.6601,2460614.61,Y,Y
"445775 (2011 YA)",20445775,"JPL 102",2.113,0.7592,5.19,0.509,3.72,340.00,227.67,35.99,0.321,2460488.39,Y,N
"445830 (2012 CL19)",20445830,"JPL 34",1.562,0.4412,2.87,0.873,2.25,128.51,295.33,206.32,0.505,2460904.81,Y,N
"445974 (2013 BJ18)",20445974,"JPL 41",1.478,0.3640,3.71,0.940,2.02,90.82,159.61,98.51,0.5486,2460420.94,Y,Y
"446791 (1998 SJ70)",20446791,"JPL 61",2.237,0.7056,7.30,0.659,3.82,21.43,246.99,304.35,0.2945,2460789.45,Y,Y
"446833 (2001 RB12)",20446833,"JPL 49",1.052,0.3813,6.61,0.651,1.45,333.19,141.71,68.99,0.9133,2460524.96,Y,N
"446862 (2001 VB76)",20446862,"JPL 28",1.459,0.3483,4.24,0.951,1.97,259.39,248.50,307.50,0.5594,2460694.35,Y,Y
"447221 (2005 UO5)",20447221,"JPL 45",1.161,0.1503,19.68,0.987,1.34,50.74,76.36,339.83,0.7877,2460626.10,Y,N
"447755 (2007 JX2)",20447755,"JPL 58",1.708,0.5261,4.22,0.810,2.61,44.31,87.95,320.24,0.4414,2460690.58,Y,Y
"447903 (2007 XJ20)",20447903,"JPL 54",1.693,0.6001,10.65,0.677,2.71,56.54,152.03,168.87,0.4475,2460223.13,Y,N
"448003 (2008 DE)",20448003,"JPL 75",1.714,0.4140,14.77,1.005,2.42,55.91,179.20,114.00,0.4392,2460340.92,Y,Y
"448628 (2010 VF1)",20448628,"JPL 43",1.244,0.6531,22.15,0.432,2.06,216.34,334.34,294.48,0.7102,2460692.76,Y,N
"448721 (2011 BN24)",20448721,"JPL 33",1.544,0.4125,3.94,0.907,2.18,195.74,61.85,328.23,0.5137,2460662.35,Y,Y
"449089 (2012 SC22)",20449089,"JPL 20",1.319,0.6318,12.61,0.485,2.15,344.34,167.50,250.84,0.651,2460768.19,Y,N
"449107 (2012 VJ82)",20449107,"JPL 60",1.359,0.3899,15.72,0.829,1.89,257.40,271.88,115.36,0.6221,2460415.08,Y,N
"450142 (1998 XN2)",20450142,"JPL 70",1.998,0.5420,1.79,0.915,3.08,255.19,127.00,66.15,0.3489,2460410.93,Y,Y
"450143 (1999 ED5)",20450143,"JPL 47",1.746,0.4663,18.18,0.932,2.56,5.51,274.02,352.37,0.4272,2460618.37,Y,N
"450159 (2000 JJ5)",20450159,"JPL 37",1.91,0.7024,9.45,0.569,3.25,59.83,50.90,119.20,0.3733,2460281.15,Y,N
"450160 (2000 RM12)",20450160,"JPL 104",2.433,0.6674,57.25,0.809,4.06,354.42,101.94,106.38,0.2597,2460190.87,Y,N
"450259 (2003 WQ7)",20450259,"JPL 78",1.8,0.4531,17.80,0.984,2.62,38.56,100.19,199.03,0.4081,2460994.96,Y,N
"450263 (2003 WD158)",20450263,"JPL 119",1.426,0.4091,16.73,0.843,2.01,92.20,102.39,17.09,0.5785,2460570.96,Y,Y
"450270 (2004 AE)",20450270,"JPL 33",1.432,0.3326,18.72,0.955,1.91,307.56,193.19,30.60,0.5754,2460547.32,Y,Y
"450293 (2004 LV3)",20450293,"JPL 107",1.231,0.2757,35.34,0.892,1.57,273.47,121.35,237.45,0.7213,2460770.40,Y,Y
"450894 (2008 BT18)",20450894,"JPL 108",2.22,0.5946,8.15,0.900,3.54,107.53,139.40,338.58,0.2981,2460672.38,Y,Y
"451003 (2008 UD1)",20451003,"JPL 47",1.716,0.4637,6.48,0.920,2.51,154.19,6.69,308.36,0.4386,2460718.23,Y,Y
"451124 (2009 KC3)",20451124,"JPL 99",3.209,0.6984,10.01,0.968,5.45,340.11,337.28,231.75,0.1715,2461348.39,Y,Y
"451157 (2009 SQ104)",20451157,"JPL 62",1.285,0.2795,4.02,0.926,1.64,56.52,95.68,352.48,0.6769,2460611.60,Y,Y
"451297 (2010 TK54)",20451297,"JPL 26",1.84,0.4960,30.79,0.927,2.75,28.14,223.01,316.01,0.3949,2460711.90,Y,Y
"451370 (2011 AK5)",20451370,"JPL 50",1.188,0.2308,5.52,0.914,1.46,316.78,325.69,57.90,0.7613,2460524.44,Y,Y
"452302 (1995 YR1)",20452302,"JPL 49",1.698,0.8268,3.58,0.294,3.10,106.52,110.04,335.76,0.4453,2460654.93,Y,Y
"452313 (1998 XR16)",20452313,"JPL 63",2.273,0.5814,20.50,0.951,3.59,91.48,68.57,171.98,0.2877,2460002.70,Y,N
"452334 (2001 LB)",20452334,"JPL 47",1.236,0.1891,20.80,1.002,1.47,80.87,118.25,37.96,0.7173,2460547.58,Y,N
"452376 (2002 AC5)",20452376,"JPL 47",1.76,0.4937,16.55,0.891,2.63,82.37,331.72,290.44,0.4221,2460765.30,Y,Y
"452474 (2004 BG11)",20452474,"JPL 77",1.776,0.4875,34.11,0.910,2.64,108.15,83.86,235.93,0.4165,2460898.41,Y,N
